INFO  - 2014-04-22 11:03:01.851; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/per/dev/ir14_project/solr-4.7.2/example/solr/collection1/data
INFO  - 2014-04-22 11:03:01.851; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/per/dev/ir14_project/solr-4.7.2/example/solr/collection1/data/index/
WARN  - 2014-04-22 11:03:01.852; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/per/dev/ir14_project/solr-4.7.2/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-04-22 11:03:01.863; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/per/dev/ir14_project/solr-4.7.2/example/solr/collection1/data/index
INFO  - 2014-04-22 11:03:01.914; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/per/dev/ir14_project/solr-4.7.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/per/dev/ir14_project/solr-4.7.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-04-22 11:03:01.915; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-04-22 11:03:01.920; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-04-22 11:03:01.920; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-04-22 11:03:01.921; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-04-22 11:03:01.925; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-04-22 11:03:01.925; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-04-22 11:03:02.033; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-04-22 11:03:02.045; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.046; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.048; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-04-22 11:03:02.048; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.052; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-04-22 11:03:02.053; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2014-04-22 11:03:02.053; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2014-04-22 11:03:02.053; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-04-22 11:03:02.054; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-04-22 11:03:02.054; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-04-22 11:03:02.054; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-04-22 11:03:02.055; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-04-22 11:03:02.055; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-04-22 11:03:02.057; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-04-22 11:03:02.059; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-04-22 11:03:02.061; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-04-22 11:03:02.071; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-04-22 11:03:02.071; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.071; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.071; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.071; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.072; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.072; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.072; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.072; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.072; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.090; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-04-22 11:03:02.106; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-22 11:03:02.108; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-22 11:03:02.108; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-04-22 11:03:02.123; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-04-22 11:03:02.123; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-04-22 11:03:02.126; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
